PassengerId,Pclass,Sex,SibSp,Parch,Embarked,fare_pp,AgeGroup
892,1,0,0,0,1,30,3
893,3,0,0,0,1,7.8958,6
894,3,0,0,0,1,7.25,6
895,3,1,0,0,3,7.7333,4
896,3,0,0,0,1,7.25,6
897,3,0,3,1,1,4.215,1
898,3,1,1,1,1,7.666666667,6
899,1,0,0,0,1,5,4
900,3,0,0,0,3,7.75,6
901,1,0,0,0,1,50.4958,4
902,3,1,0,0,1,7.925,5
903,3,0,1,0,1,3.8875,6
904,3,1,2,1,1,6.75,4
905,1,0,0,0,1,26.2875,4
906,1,1,0,1,2,30.9896,6
907,3,1,2,1,2,4.814575,5
908,1,1,3,2,1,43.83333333,1
909,1,0,0,0,2,31,3
910,1,0,0,0,1,0,6
911,3,1,1,0,1,6.95,6
912,3,0,0,0,1,7.8958,5
913,3,0,1,0,1,3.9625,5
914,2,1,1,1,1,9.666666667,1
915,3,1,0,0,1,8.05,5
916,3,0,0,0,1,8.05,5
917,1,0,1,0,2,28.875,6
918,3,0,0,0,2,7.8958,5
919,3,0,0,0,1,7.775,6
920,1,1,1,0,2,44.5521,5
921,3,0,0,0,2,7.2292,6
922,3,0,1,1,2,2.409733333,6
923,1,0,0,0,2,135.6333,4
924,3,1,0,0,3,7.75,4
925,3,0,0,2,1,4.8,5
926,2,0,0,0,1,26,5
927,3,0,0,0,1,7.25,4
928,3,1,0,0,1,7.775,6
929,2,0,1,0,1,10.5,5
930,1,0,1,0,1,45,6
931,3,0,0,0,1,7.8958,7
932,2,1,1,0,1,13,2
933,3,1,0,0,2,7.2292,5
934,3,0,0,0,2,8.6625,5
935,2,0,0,0,1,31.5,4
936,3,0,1,1,1,6.7375,5
937,3,0,0,0,3,6.95,7
938,3,0,0,1,2,6.70835,6
939,1,1,1,0,2,28.875,6
940,3,1,1,0,1,8.05,5
941,1,0,0,0,1,32.3208,1
942,1,1,1,0,1,27.95,4
943,2,0,0,0,3,12.35,6
944,1,1,0,0,2,49.5042,6
945,1,1,0,0,1,80,4
946,2,0,2,0,1,10.5,3
947,3,1,0,0,1,12.475,2
948,1,1,1,1,1,31.16666667,6
949,2,0,0,0,1,13,6
950,2,1,0,0,1,13,6
951,1,0,1,3,2,52.475,6
952,1,0,1,1,2,44.83333333,5
953,2,0,1,0,1,13,3
954,3,1,0,0,1,8.6625,1
955,3,0,0,0,1,8.05,5
956,2,1,1,0,2,15.0354,5
957,1,0,0,0,1,26.55,6
958,3,0,1,0,1,7.25,5
959,3,1,0,0,2,7.2292,5
960,3,0,0,0,1,9.225,4
961,3,0,0,0,2,7.225,3
962,3,1,2,1,2,4.814575,5
963,1,1,0,0,2,27.4458,5
964,2,1,0,2,1,12.25,6
965,3,1,1,0,1,7.05415,5
966,3,0,1,0,2,7.2271,4
967,3,0,0,0,1,56.4958,6
968,2,0,1,0,1,13,5
969,1,0,0,0,2,26.55,6
970,2,0,0,0,1,13,4
971,2,0,0,0,2,15.5792,5
972,3,0,0,0,1,8.05,6
973,1,0,1,0,2,73.2604,5
974,3,0,0,0,1,8.6625,6
975,3,0,0,0,1,7.8958,5
976,3,0,0,0,1,7.125,5
977,1,0,0,1,2,123.7604,5
978,3,0,0,0,1,9.5,6
979,1,0,0,0,1,26.55,2
980,2,0,1,1,1,8.666666667,5
981,3,0,0,0,1,8.05,7
982,3,1,0,0,1,8.9625,5
983,3,1,8,2,1,6.322727273,5
984,3,0,0,0,1,8.05,6
985,3,1,0,1,1,6.2375,4
986,3,1,1,0,3,12.075,5
987,3,0,0,0,1,8.6625,5
988,3,0,1,1,1,5.3,5
989,2,0,1,0,1,13,3
990,1,0,1,0,2,54.45,6
991,3,0,0,0,2,7.225,6
992,3,0,0,0,1,9,5
993,2,0,0,0,1,13,5
994,2,0,0,0,1,10.5,4
995,2,1,0,0,1,10.5,5
996,1,0,0,0,1,39.6,5
997,2,1,1,0,2,19.8,6
998,3,1,0,0,1,9.8417,5
999,1,1,0,1,1,19.7,5
1000,1,0,0,0,1,47.1,4
1001,1,0,1,0,2,44.5521,4
1002,2,0,0,0,1,73.5,5
1003,2,1,0,0,1,13,4
1004,1,1,0,1,2,28.9896,3
1005,1,1,1,2,1,37.8875,1
1006,1,0,0,0,2,75.2417,6
1007,3,1,0,2,3,2.583333333,3
1008,3,1,0,0,3,6.95,3
1009,3,0,0,0,1,7.8958,3
1010,3,1,0,0,1,7.925,6
1011,1,1,0,2,1,8.7611,5
1012,3,1,0,0,1,7.8542,6
1013,3,1,1,0,1,9,3
1014,3,0,0,0,1,8.05,3
1015,3,1,1,1,1,6.841666667,5
1016,1,0,0,0,1,50,1
1017,3,0,0,0,2,7.8958,4
1018,3,0,0,0,1,7.775,6
1019,1,1,1,2,1,37.8875,5
1020,1,0,1,0,1,25.93125,5
1021,3,1,1,0,1,8.05,5
1022,3,1,0,0,3,7.75,6
1023,3,0,0,0,1,7.8958,3
1024,3,0,0,0,1,7.55,6
1025,2,1,0,0,1,13,6
1026,3,1,4,2,1,1.132142857,6
1027,1,1,1,0,2,27.72085,6
1028,1,1,0,0,2,227.525,6
1029,3,1,1,0,2,5.62085,5
1030,3,0,0,0,1,7.125,5
1031,1,1,0,1,2,256.1646,3
1032,3,0,1,1,2,5.081933333,5
1033,3,1,0,0,3,7.8792,5
1034,2,0,0,0,1,0,4
1035,2,1,0,2,1,7.666666667,6
1036,3,1,1,0,2,7.2271,5
1037,2,0,0,0,1,10.5,5
1038,1,1,1,0,2,113.7625,4
1039,1,1,0,1,2,41.57915,5
1040,3,0,1,0,1,9.98335,6
1041,3,0,0,0,1,7.05,6
1042,1,1,1,0,1,28.5,6
1043,2,1,0,2,1,10,4
1044,1,0,1,0,2,13.8604,4
1045,2,0,1,0,1,13,5
1046,2,0,1,0,2,12,4
1047,3,0,0,0,1,7.8875,5
1048,3,0,0,0,1,8.05,4
1049,2,0,0,0,1,26,3
1050,1,0,1,2,1,30,3
1051,1,0,1,2,1,37.8875,5
1052,1,1,1,2,1,13,6
1053,2,1,0,0,3,12.35,3
1054,1,0,0,0,2,27.75,6
1055,2,0,0,0,1,13,5
1056,3,0,1,0,1,3.5229,4
1057,1,0,0,0,2,29.7,6
1058,3,0,0,0,1,7.775,5
1059,2,0,1,1,1,17.51806667,4
1060,3,0,0,0,1,8.05,5
1061,1,0,0,0,2,30.5,6
1062,3,0,0,0,1,8.05,6
1063,2,0,0,0,3,12.35,5
1064,1,0,2,2,2,52.475,6
1065,3,0,0,0,1,15.1,4
1066,3,0,0,0,2,7.2292,3
1067,2,1,0,0,1,21,5
1068,3,0,0,0,3,7.75,6
1069,1,1,3,2,1,43.83333333,4
1070,2,0,0,0,2,13.8625,3
1071,2,0,0,0,1,13,4
1072,3,0,0,1,1,4.2021,4
1073,3,0,0,0,3,7.8208,5
1074,3,0,2,0,3,7.75,2
1075,2,0,0,0,1,10.5,4
1076,3,0,0,0,1,7.65,1
1077,3,0,0,0,1,7.25,4
1078,1,1,1,1,1,8.85,3
1079,2,1,1,0,1,13,6
1080,3,1,1,0,1,7.25,1
1081,2,0,0,0,1,13.5,5
1082,3,1,0,0,3,7.8792,6
1083,3,0,0,0,3,7.8792,3
1084,3,0,0,0,1,7.1417,4
1085,1,1,0,0,1,86.5,4
1086,1,0,0,0,2,27.7208,1
1087,3,0,0,0,1,6.4958,6
1088,1,0,0,1,2,30.6896,5
1089,1,1,0,0,2,227.525,2
1090,2,0,0,0,1,13,6
1091,2,1,0,0,1,13,5
1092,2,0,1,1,1,6.25,7
1093,2,1,0,0,1,13,7
1094,3,1,0,0,1,39.6875,1
1095,1,0,0,0,1,26,5
1096,1,1,2,0,1,8.566666667,4
1097,1,0,0,0,1,0,4
1098,3,1,0,0,1,7.775,7
1099,3,0,0,0,1,7.25,6
1100,3,0,0,0,2,7.2292,5
1101,2,1,0,0,1,10.5,5
1102,2,1,0,0,1,13,3
1103,2,1,0,0,1,13,5
1104,2,1,0,0,1,36.75,6
1105,2,1,1,0,2,6.92915,6
1106,3,0,0,0,1,7.8958,4
1107,3,0,0,0,1,8.05,6
1108,3,1,2,1,2,4.814575,5
1109,3,0,1,0,1,3.2479,6
1110,3,0,1,0,1,3.2479,5
1111,2,1,1,2,1,16.25,6
1112,2,0,0,0,1,16,4
1113,1,1,0,0,1,221.7792,5
1114,2,0,0,0,1,10.5,5
1115,3,0,0,0,2,7.2292,7
1116,3,0,1,9,1,6.322727273,6
1117,3,0,1,2,1,5.14375,7
1118,3,0,0,0,1,7.8542,5
1119,3,1,1,1,1,6.7375,5
1120,3,0,0,0,2,7.225,5
1121,1,0,0,0,2,79.2,5
1122,1,0,1,0,1,26,4
1123,2,0,0,1,1,16.5,5
1124,3,0,0,0,1,7.55,1
1125,3,1,0,0,1,8.05,6
1126,1,0,0,0,1,26.55,5
1127,1,1,1,0,1,26.2771,1
1128,3,0,0,0,1,0,6
1129,3,1,0,0,1,7.55,5
1130,3,1,8,2,1,6.322727273,5
1131,3,0,0,0,3,7.75,5
1132,2,1,0,0,1,26,6
1133,1,1,0,0,2,512.3292,7
1134,1,0,0,0,1,47.1,5
1135,1,1,1,3,2,52.475,6
1136,3,1,0,0,3,7.8292,5
1137,3,0,0,0,1,7.8542,2
1138,3,1,0,0,3,7.75,3
1139,3,0,0,0,1,7.8542,5
1140,3,1,1,1,1,6.75,4
1141,1,1,0,0,1,86.5,5
1142,3,1,0,0,1,8.1125,5
1143,2,0,0,0,1,13,4
1144,1,1,1,0,3,45,2
1145,3,0,0,0,1,7.8958,6
1146,3,1,0,0,3,7.75,5
1147,2,0,0,0,1,13,5
1148,2,0,0,0,1,10.5,6
1149,3,0,0,0,1,7.05,4
1150,2,1,3,0,1,5.25,6
1151,3,0,0,0,2,7.225,5
1152,1,1,0,0,2,134.5,2
1153,3,0,0,0,1,6.975,5
1154,3,1,0,4,1,4.215,6
1155,3,1,0,0,3,7.75,6
1156,1,1,0,2,1,23.66666667,5
1157,3,0,0,0,1,7.8958,2
1158,1,0,1,1,2,26.4,5
1159,3,0,0,0,1,7.8958,5
1160,1,1,0,0,1,80,3
1161,3,1,1,0,1,7.925,5
1162,2,1,1,1,1,8.666666667,5
1163,1,0,1,0,2,38.3646,6
1164,3,0,0,0,1,7.8958,6
1165,3,1,0,1,2,7.2271,4
1166,3,0,0,0,1,22.525,2
1167,2,1,1,1,2,12.33473333,5
1168,1,1,0,0,2,211.5,5
1169,2,0,0,0,1,13,6
1170,3,0,0,0,2,8.7125,6
1171,1,0,0,0,1,28.5,6
1172,3,0,0,0,2,7.2292,6
1173,2,0,0,0,1,11.5,4
1174,3,0,0,0,1,8.05,5
1175,3,0,1,0,1,7.775,4
1176,2,1,0,0,2,12,3
1177,3,0,0,0,1,8.05,6
1178,3,0,0,0,1,8.05,6
1179,3,0,0,0,3,7.75,5
1180,3,1,0,0,3,7.75,3
1181,3,0,0,0,1,7.8958,6
1182,1,1,0,0,2,146.5208,3
1183,3,0,0,0,2,7.2292,6
1184,1,1,0,0,1,33,3
1185,1,0,3,2,1,43.83333333,5
1186,3,0,4,1,3,4.854166667,3
1187,2,0,0,0,1,13,4
1188,2,1,1,1,1,8.75,6
1189,2,1,0,0,1,21,5
1190,3,1,0,0,1,8.85,3
1191,2,0,0,0,2,15.05,5
1192,2,0,0,0,3,10.7083,6
1193,2,1,1,0,1,13,3
1194,3,1,1,0,3,7.75,6
1195,3,0,0,0,1,7.25,2
1196,3,0,0,0,1,7.8958,4
1197,3,0,0,0,3,7.7417,6
1198,2,0,1,1,2,12.33473333,4
1199,2,0,0,0,1,13,4
1200,3,0,1,1,1,4.591666667,6
1201,2,1,1,1,1,13,6
1202,2,0,0,0,1,10.5,5
1203,1,0,0,0,1,42.5,6
1204,3,1,1,0,2,7.2271,4
1205,3,0,1,0,1,5.25,5
1206,3,0,1,1,1,6.75,5
1207,2,1,0,0,3,12.35,6
1208,3,0,0,0,3,6.8583,3
1209,3,0,0,0,1,7.8958,5
1210,3,0,0,0,1,7.925,4
1211,2,0,0,0,1,10.5,3
1212,3,1,0,2,1,4.0611,6
1213,1,1,1,0,2,45.5396,5
1214,2,0,1,1,1,10.83333333,6
1215,3,0,0,0,1,7.05,2
1216,1,1,0,0,1,77.9583,4
1217,3,0,0,0,1,8.05,5
1218,3,1,0,5,1,6.614583333,6
1219,3,0,0,2,1,6.75,6
1220,1,0,1,1,1,54.95556667,3
1221,3,1,0,1,1,6.14375,2
1222,3,0,0,0,1,7.8958,4
1223,3,0,0,2,2,2.409733333,5
1224,3,1,3,1,1,5.09334,5
1225,3,0,0,0,2,7.225,4
1226,3,0,1,6,1,5.8625,6
1227,2,0,1,1,1,7.666666667,4
1228,3,0,0,0,1,7.05,1
1229,3,0,0,0,1,7.8542,6
1230,1,1,0,0,2,108.9,3
1231,2,0,1,0,1,10.5,5
1232,1,0,0,0,1,30,5
1233,2,0,1,1,1,8.75,4
1234,3,0,0,0,1,9.2167,6
1235,1,1,0,1,2,41.57915,1
1236,3,0,0,0,1,56.4958,6
1237,3,0,4,2,1,4.483928571,2
1238,3,0,0,0,1,7.775,6
1239,3,1,2,2,1,6.875,6
1240,2,0,0,0,2,13.8583,5
1241,3,0,0,0,3,7.75,5
1242,1,1,0,1,2,29.7,5
1243,3,0,0,0,2,7.225,5
1244,3,1,5,2,1,5.8625,4
1245,3,0,0,0,3,7.75,5
1246,3,0,0,0,1,7.65,5
1247,3,1,1,1,3,5.166666667,5
1248,2,1,1,2,1,6.9375,5
1249,3,0,0,0,1,14.5,6
1250,3,0,0,0,1,8.05,4
1251,1,1,1,0,1,30,6
1252,1,0,0,0,1,42.4,5
1253,3,0,1,1,1,4.8,4
1254,1,1,1,0,2,27.72085,4
1255,2,1,0,1,1,11.5,3
1256,2,1,1,0,2,12,4
1257,2,1,1,0,1,13,5
1258,2,0,0,0,1,10.5,4
1259,3,0,0,0,2,7.2292,6
1260,3,0,0,0,2,7.225,3
1261,3,1,0,0,1,9.5875,5
1262,3,0,0,0,1,7.7958,6
1263,1,0,1,1,1,31.16666667,5
1264,3,0,0,0,1,8.6625,4
1265,2,0,1,0,1,10.5,4
1266,2,0,0,0,1,13.5,5
1267,2,1,1,1,1,10.83333333,4
1268,2,0,0,0,1,73.5,3
1269,3,0,0,0,2,7.225,5
1270,2,1,0,0,1,21,5
1271,2,0,0,0,1,13,6
1272,3,0,0,0,1,7.8958,7
1273,1,0,0,0,1,26.55,4
1274,1,1,0,0,2,27.7208,6
1275,2,0,1,1,1,9.666666667,6
1276,2,0,0,0,1,10.5,4
1277,3,0,0,0,3,7.7333,6
1278,3,0,0,0,1,8.6625,5
1279,3,1,1,1,1,3.4875,6
1280,2,0,0,2,2,12.33473333,2
1281,3,1,1,1,2,2.8389,5
1282,3,0,0,0,1,22.525,7
1283,3,0,0,0,2,7.8958,3
1284,1,1,0,1,2,29.7,6
1285,3,1,0,0,3,7.8792,5
1286,1,0,0,0,1,30.5,4
1287,2,0,0,0,1,13,4
1288,3,0,0,0,1,9.325,5
1289,2,0,0,0,1,10.5,4
1290,1,0,0,0,2,27.7208,3
1291,1,0,0,0,2,49.5042,4
1292,3,1,0,0,3,7.75,5
1293,3,0,0,0,1,7.8,5
1294,3,1,3,1,1,5.09334,5
1295,3,0,4,1,3,4.854166667,5
1296,3,1,3,1,1,4.215,5
1297,3,0,0,0,1,9.225,5
1298,2,1,0,3,1,9.75,6
1299,3,1,0,0,3,15.5,6
1300,1,1,0,0,2,135.6333,4
1301,3,0,1,1,2,2.409733333,5
1302,3,1,1,1,1,5.566666667,4
1303,1,0,0,1,1,38.64375,4
1304,3,0,0,0,3,7.75,5
1305,1,1,1,1,1,27.2861,5
1306,2,0,0,0,1,26,4
1307,3,0,0,0,1,7.125,6
1308,2,1,0,1,1,10.5,6
1309,3,1,1,0,1,3.9625,6