PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,relatives,fare_pp,AgeGroup,not_alone
1,0,3,0,1,0,3,1,7.75,3,0
2,0,1,0,0,1,1,1,38.64375,6,0
3,0,2,0,0,0,1,0,13,6,1
4,0,3,0,0,0,1,0,9.5,4,1
5,0,2,0,0,0,1,0,13,6,1
6,1,3,1,1,2,1,3,6.9375,1,0
7,0,3,0,8,2,1,10,6.322727273,6,0
8,0,3,0,8,2,1,10,6.322727273,4,0
9,1,3,1,1,0,1,1,3.5,6,0
10,1,1,1,3,2,1,5,43.83333333,4,0
11,0,3,0,1,0,1,1,7.925,5,0
12,0,3,0,1,0,2,1,3.21875,6,0
13,0,3,0,0,0,1,0,7.7958,4,1
14,1,3,1,0,3,2,3,4.814575,4,0
15,0,2,0,0,0,3,0,12.35,6,1
16,0,1,0,0,0,2,0,39.6,5,1
17,1,3,1,1,2,1,3,5.14375,1,0
18,1,1,1,2,2,2,4,52.475,3,0
19,0,1,0,0,0,1,0,24.15,6,1
20,1,1,0,0,0,2,0,29.7,6,1
21,1,3,0,0,0,1,0,7.925,5,1
22,1,3,0,0,0,1,0,56.4958,5,1
23,0,3,0,5,2,1,7,5.8625,1,0
24,1,1,1,0,2,1,2,54.95556667,5,0
25,1,3,0,0,0,1,0,56.4958,5,1
26,1,1,1,1,0,2,1,35.64165,6,0
27,0,2,0,0,0,1,0,13.5,5,1
28,1,3,0,1,0,1,1,8.7,6,0
29,1,2,1,0,0,1,0,13,5,1
30,0,3,0,0,0,2,0,6.4375,6,1
31,0,1,0,1,0,1,1,26,6,0
32,0,3,1,1,9,1,10,6.322727273,4,0
33,0,2,0,0,0,1,0,13,4,1
34,0,2,0,0,0,1,0,13,5,1
35,0,3,0,0,0,3,0,7.8292,5,1
36,0,1,0,0,0,2,0,79.2,4,1
37,0,1,0,0,0,2,0,30.6958,6,1
38,1,2,1,1,0,1,1,13,5,0
39,1,1,0,0,0,1,0,26.2875,6,1
40,1,1,1,1,0,1,1,39.425,7,0
41,0,3,0,1,1,2,2,5.081933333,2,0
42,0,3,0,1,1,1,2,6.841666667,5,0
43,1,1,0,0,0,1,0,26.55,5,1
44,0,3,1,0,0,3,0,7.75,4,1
45,1,1,1,1,1,2,2,82.50693333,5,0
46,0,1,0,1,0,1,1,110.8896,7,0
47,1,1,1,1,0,2,1,37.625,6,0
48,1,3,1,0,0,2,0,7.225,6,1
49,1,3,1,1,1,1,2,10,5,0
50,0,3,0,3,1,1,4,4.215,1,0
51,1,1,1,0,1,1,1,27.5,4,0
52,0,2,0,0,0,1,0,12.525,6,1
53,1,1,1,0,0,1,0,211.3375,6,1
54,0,3,0,0,0,1,0,7.925,4,1
55,1,2,1,0,2,1,2,4.333333333,3,0
56,1,2,1,0,1,1,1,16.5,2,0
57,0,1,0,0,0,1,0,34.0208,6,1
58,0,1,0,0,0,1,0,25.925,6,1
59,0,3,1,4,2,1,6,1.110714286,6,0
60,0,2,0,0,0,1,0,26,6,1
61,0,3,0,0,0,2,0,7.225,5,1
62,1,3,0,1,1,2,2,5.081933333,3,0
63,1,2,0,1,1,1,2,4.833333333,1,0
64,1,3,0,0,0,1,0,7.925,5,1
65,0,1,0,1,0,1,1,33.3,5,0
66,1,1,1,1,0,2,1,53.2125,6,0
67,1,2,0,0,0,1,0,13,5,1
68,1,1,1,0,0,2,0,27.7208,5,1
69,1,1,0,0,0,1,0,26,4,1
70,0,3,0,1,1,1,2,2.618066667,3,0
71,0,3,0,0,0,1,0,8.05,5,1
72,0,3,0,0,0,1,0,7.8958,5,1
73,1,1,0,0,0,2,0,29.7,6,1
74,0,3,0,0,0,1,0,0,5,1
75,0,3,1,1,0,2,1,7.2271,4,0
76,0,3,0,0,0,1,0,0,6,1
77,1,1,0,1,0,1,1,26.55,5,0
78,0,1,1,0,0,2,0,31.6792,6,1
79,0,3,0,0,0,1,0,7.925,4,1
80,0,3,0,0,0,3,0,7.75,5,1
81,1,3,1,1,0,3,1,7.75,6,0
82,0,3,0,1,0,1,1,3.8875,5,0
83,1,1,1,0,0,2,0,27.7208,6,1
84,0,2,0,0,0,1,0,13.5,5,1
85,1,2,0,0,0,2,0,12.7375,5,1
86,0,3,0,0,0,1,0,8.05,5,1
87,0,2,0,1,0,1,1,13,6,0
88,0,3,1,4,2,1,6,4.467857143,2,0
89,1,2,1,0,0,1,0,13,5,1
90,0,1,0,0,1,2,1,30.9896,7,0
91,1,1,1,1,0,3,1,45,5,0
92,0,3,1,0,0,3,0,7.6292,5,1
93,0,2,0,1,2,1,3,16.25,6,0
94,0,1,0,0,0,1,0,26.55,4,1
95,0,2,0,0,0,1,0,12.275,5,1
96,0,1,0,0,2,2,2,70.5,5,0
97,1,1,1,0,0,1,0,164.8667,5,1
98,1,1,0,0,2,2,2,36.9611,3,0
99,0,3,1,0,0,3,0,7.75,6,1
100,0,1,0,0,0,1,0,0,6,1
101,0,3,0,0,0,1,0,8.05,5,1
102,0,3,0,0,0,1,0,7.8958,5,1
103,0,3,0,0,0,1,0,9.5,4,1
104,0,1,0,0,0,1,0,26.55,5,1
105,0,3,0,0,0,1,0,7.8958,5,1
106,0,3,0,0,0,3,0,7.75,6,1
107,0,3,1,0,0,1,0,7.55,5,1
108,1,1,1,1,0,2,1,68.3896,5,0
109,0,3,0,0,0,1,0,7.8958,4,1
110,0,3,0,0,0,3,0,7.75,4,1
111,1,1,1,0,0,1,0,211.3375,5,1
112,1,2,1,1,0,2,1,13.8604,4,0
113,0,3,0,1,0,1,1,3.5271,3,0
114,0,3,1,0,1,1,1,5.23125,1,0
115,0,3,1,0,1,2,1,7.2271,6,0
116,0,3,0,0,0,1,0,8.6625,3,1
117,1,1,1,0,2,1,2,26.55,3,0
118,0,3,0,2,0,1,2,2.683333333,3,0
119,0,3,0,0,0,1,0,7.25,6,1
120,1,2,1,1,2,1,3,6.9375,5,0
121,0,1,0,1,0,2,1,29.7,6,0
122,0,3,0,0,0,1,0,8.6625,3,1
123,0,3,0,0,0,2,0,7.2292,3,1
124,0,3,0,0,0,1,0,7.8542,5,1
125,1,2,1,2,1,1,3,9.75,1,0
126,0,3,0,0,0,1,0,7.8542,4,1
127,0,3,0,0,0,1,0,15.1,6,1
128,1,1,1,0,0,2,0,106.425,5,1
129,0,3,1,0,0,1,0,7.8542,5,1
130,0,2,0,0,0,1,0,13,5,1
131,0,3,0,0,0,2,0,14.4583,6,1
132,0,3,1,0,0,2,0,14.4583,3,1
133,1,3,1,0,0,3,0,7.7208,6,1
134,1,2,1,0,0,1,0,15.75,6,1
135,1,3,0,0,0,1,0,8.05,6,1
136,0,3,0,1,4,1,5,4.65,6,0
137,0,3,0,0,0,1,0,32.67455449,6,1
138,1,1,0,0,0,2,0,28.5375,5,1
139,1,3,0,0,0,1,0,9.5,5,1
140,0,3,1,0,0,3,0,7.2833,3,1
141,0,1,0,0,0,1,0,31,5,1
142,0,3,0,0,0,1,0,7.25,5,1
143,0,1,0,1,0,1,1,26.55,4,0
144,0,2,0,0,0,1,0,14,6,1
145,1,1,1,1,0,1,1,41.7375,5,0
146,0,3,0,0,0,1,0,7.775,5,1
147,0,3,0,0,0,1,0,7.8958,4,1
148,0,3,0,0,0,1,0,8.05,5,1
149,0,2,0,0,0,1,0,13,6,1
150,1,1,0,0,0,1,0,26.55,6,1
151,1,1,1,1,1,2,2,70.5,6,0
152,0,3,0,0,0,1,0,14.5,4,1
153,0,2,0,0,0,1,0,13,4,1
154,0,3,0,3,1,1,4,5.09334,5,0
155,1,3,1,1,1,2,2,5.247233333,4,0
156,1,1,1,0,0,2,0,76.2917,5,1
157,0,3,0,0,0,1,0,8.05,4,1
158,0,3,0,0,0,2,0,7.2292,3,1
159,1,3,1,0,0,3,0,7.7792,3,1
160,0,3,0,0,0,3,0,7.75,5,1
161,0,3,0,0,0,1,0,8.6625,6,1
162,0,3,0,0,0,1,0,7.775,3,1
163,0,3,0,0,0,1,0,8.05,6,1
164,0,2,0,0,0,1,0,13,5,1
165,0,3,0,0,0,1,0,7.8958,4,1
166,0,3,0,0,0,1,0,7.05,6,1
167,0,3,0,1,0,1,1,8.9,5,0
168,0,3,0,0,0,1,0,9.225,4,1
169,0,2,0,0,0,1,0,13,5,1
170,0,1,0,0,0,1,0,50,6,1
171,1,3,0,0,0,1,0,7.925,6,1
172,0,3,1,1,0,2,1,7.2271,5,0
173,0,2,0,0,0,2,0,15.0458,6,1
174,0,3,1,2,2,1,4,6.875,4,0
175,0,3,0,1,0,2,1,7.2271,3,0
176,0,3,0,0,0,3,0,7.8792,5,1
177,0,3,0,0,0,1,0,7.8958,6,1
178,0,3,0,0,0,1,0,7.25,4,1
179,1,2,1,0,1,1,1,9.75,3,0
180,1,3,0,0,0,3,0,7.75,4,1
181,1,1,1,0,0,2,0,83.1583,4,1
182,0,1,0,0,0,1,0,26,5,1
183,0,3,0,4,1,3,5,4.854166667,2,0
184,0,2,0,0,0,1,0,11.5,4,1
185,0,3,0,4,2,1,6,4.483928571,1,0
186,0,3,0,1,0,1,1,9.98335,4,0
187,0,3,1,0,0,3,0,7.7333,3,1
188,0,1,0,0,0,1,0,30.5,6,1
189,1,3,0,1,2,1,3,5.14375,1,0
190,0,2,0,1,0,1,1,13,5,0
191,1,3,1,0,0,3,0,7.75,6,1
192,1,3,1,0,0,1,0,8.05,3,1
193,1,3,1,0,0,1,0,7.25,4,1
194,0,2,0,0,0,1,0,10.5,4,1
195,1,3,1,0,2,2,2,5.247233333,1,0
196,0,3,1,1,4,1,5,4.65,6,0
197,0,1,0,0,0,1,0,26.55,5,1
198,1,2,0,0,2,1,2,10.83333333,2,0
199,1,1,1,0,0,2,0,262.375,6,1
200,0,2,0,0,0,1,0,10.5,5,1
201,0,1,0,0,0,2,0,34.6542,7,1
202,0,1,0,0,0,1,0,33.5,7,1
203,1,2,0,1,1,1,2,8.666666667,1,0
204,0,1,0,1,2,1,3,37.8875,5,0
205,1,3,0,0,0,1,0,7.7958,4,1
206,0,2,0,2,0,1,2,24.5,4,0
207,0,1,0,0,0,1,0,26.55,7,1
208,0,1,0,0,0,2,0,27.7208,6,1
209,0,3,0,1,0,1,1,7.925,5,0
210,0,2,0,0,0,1,0,13,5,1
211,1,3,1,0,0,3,0,7.7875,3,1
212,0,3,0,0,0,1,0,7.8958,5,1
213,0,2,0,1,0,1,1,10.5,6,0
214,0,2,0,0,0,1,0,26,6,1
215,0,3,0,0,0,1,0,8.05,4,1
216,0,1,0,0,0,1,0,35.5,6,1
217,0,3,0,0,0,1,0,8.05,5,1
218,0,1,0,0,0,2,0,40.125,6,1
219,0,3,0,1,0,3,1,3.875,5,0
220,1,2,1,0,0,1,0,13,6,1
221,0,1,0,0,0,2,0,227.525,4,1
222,1,3,1,1,2,1,3,5.14375,5,0
223,1,3,0,0,0,1,0,7.5792,5,1
224,1,1,1,0,2,2,2,27.71943333,7,0
225,0,1,0,0,0,1,0,0,6,1
226,0,1,0,1,4,1,5,43.83333333,7,0
227,1,1,1,1,0,1,1,66.825,5,0
228,0,3,0,0,0,1,0,7.875,5,1
229,0,2,0,0,0,1,0,13,5,1
230,1,2,1,0,0,1,0,13,5,1
231,0,3,0,0,0,1,0,8.4333,4,1
232,0,3,0,0,0,3,0,7.7292,5,1
233,1,2,0,2,1,1,3,9.75,1,0
234,0,3,0,0,0,1,0,9.5,6,1
235,0,3,1,0,0,3,0,7.8792,5,1
236,1,2,0,0,2,1,2,9.666666667,1,0
237,0,2,0,0,1,1,1,10.5,6,0
238,0,3,0,0,0,1,0,56.4958,5,1
239,0,3,0,0,0,1,0,7.8958,5,1
240,1,2,1,1,0,1,1,13,5,0
241,1,1,0,1,0,2,1,27.72085,6,0
242,1,1,1,1,0,1,1,38.97915,7,0
243,0,3,1,8,2,1,10,6.322727273,5,0
244,0,1,0,1,1,2,2,27.71943333,6,0
245,0,3,0,0,0,1,0,7.8958,5,1
246,1,2,0,1,1,1,2,12.25,2,0
247,1,3,1,0,0,3,0,7.7333,3,1
248,1,3,1,1,0,3,1,7.75,5,0
249,0,3,0,0,0,1,0,7.05,4,1
250,1,3,1,0,2,1,2,3.7111,5,0
251,0,2,1,1,1,1,2,8.666666667,5,0
252,0,3,0,0,0,1,0,7.775,4,1
253,0,3,0,3,2,1,5,4.65,2,0
254,0,3,0,0,0,3,0,8.4583,6,1
255,0,2,0,0,0,1,0,13,5,1
256,1,3,1,0,0,1,0,7.8542,5,1
257,0,3,0,0,0,1,0,8.05,6,1
258,0,3,0,0,0,1,0,7.8542,4,1
259,0,3,1,0,0,1,0,8.05,6,1
260,0,3,0,0,0,2,0,7.8958,5,1
261,1,2,1,0,2,1,2,8.75,2,0
262,0,3,0,2,0,1,2,2.8875,5,0
263,0,1,0,0,1,2,1,14.85,6,0
264,0,3,0,0,0,3,0,7.75,6,1
265,1,1,0,0,0,1,0,35.5,5,1
266,0,3,0,4,1,1,5,6.614583333,2,0
267,1,1,1,1,0,2,1,56.6375,5,0
268,1,1,0,0,0,1,0,26.55,5,1
269,0,3,0,8,2,1,10,6.322727273,3,0
270,0,3,0,0,0,1,0,7.8958,5,1
271,1,3,0,0,0,1,0,7.65,5,1
272,0,1,0,1,1,2,2,70.5,6,0
273,0,2,0,0,0,1,0,13,6,1
274,1,2,0,0,0,1,0,10.5,4,1
275,1,3,0,1,1,2,2,5.081933333,2,0
276,0,3,0,0,0,1,0,7.775,5,1
277,0,3,0,0,0,2,0,7.2292,5,1
278,1,2,1,1,0,1,1,13,6,0
279,0,1,0,0,0,1,0,26.55,6,1
280,1,1,0,0,0,1,0,26.3875,6,1
281,0,2,0,0,0,1,0,10.5,6,1
282,0,3,1,0,4,1,4,5.09334,4,0
283,0,3,0,0,0,1,0,14.5,5,1
284,0,2,0,1,0,1,1,5.75,4,0
285,0,3,0,0,0,1,0,7,3,1
286,1,3,1,1,5,1,6,4.483928571,6,0
287,1,1,1,2,0,1,2,17.15973333,6,0
288,1,2,1,0,1,1,1,13,5,0
289,1,3,1,0,0,3,0,8.0292,3,1
290,0,1,0,0,0,1,0,52,6,1
291,0,1,0,0,0,1,0,221.7792,3,1
292,1,1,0,0,0,1,0,26.55,6,1
293,1,1,1,1,2,1,3,30,3,0
294,1,3,0,0,0,1,0,7.7958,5,1
295,1,1,1,0,1,1,1,105.66875,3,0
296,0,1,0,0,0,1,0,42.4,4,1
297,1,3,1,0,0,2,0,7.225,6,1
298,1,2,1,0,0,1,0,12.65,5,1
299,0,1,0,0,0,2,0,30.6958,3,1
300,1,3,0,0,0,1,0,9.5,5,1
301,0,3,0,2,0,1,2,4.702766667,6,0
302,0,2,0,0,0,1,0,73.5,3,1
303,1,1,1,0,0,2,0,135.6333,6,1
304,0,3,0,5,2,1,7,5.8625,2,0
305,0,3,0,0,0,3,0,6.75,4,1
306,1,2,1,0,1,1,1,13,6,0
307,1,3,0,0,0,1,0,7.7958,4,1
308,1,3,0,0,0,3,0,7.75,4,1
309,1,1,1,1,0,1,1,38.97915,6,0
310,1,1,0,0,0,2,0,28.5,6,1
311,1,3,1,2,0,3,2,7.75,5,0
312,1,1,0,0,0,1,0,26.55,6,1
313,0,3,0,1,0,3,1,12.075,4,0
314,0,2,0,0,0,1,0,13,5,1
315,1,3,1,0,0,1,0,8.6833,5,1
316,0,3,0,0,2,1,2,4.833333333,6,0
317,0,3,1,0,0,3,0,6.75,3,1
318,1,3,0,0,0,1,0,7.7958,5,1
319,0,3,0,0,0,2,0,4.0125,4,1
320,0,3,0,0,0,1,0,8.05,3,1
321,1,1,1,1,1,1,2,17.51806667,6,0
322,1,3,1,3,0,1,3,3.9625,5,0
323,0,3,0,0,0,1,0,7.55,6,1
324,0,3,1,5,2,1,7,5.8625,2,0
325,1,1,1,0,0,1,0,26.55,4,1
326,1,1,1,0,0,2,0,31,5,1
327,1,1,1,1,2,1,3,30,6,0
328,0,1,0,1,0,1,1,26.55,6,0
329,1,1,1,0,0,1,0,86.5,3,1
330,1,3,0,0,1,1,1,1.5854,2,0
331,0,3,0,0,0,1,0,8.05,4,1
332,0,3,0,0,0,1,0,9.5,5,1
333,1,3,1,0,2,2,2,5.081933333,5,0
334,1,3,1,0,0,1,0,7.75,4,1
335,1,3,0,0,0,1,0,7.775,6,1
336,1,1,1,1,0,1,1,41.13335,4,0
337,0,3,0,3,2,1,5,4.65,1,0
338,1,1,1,1,1,1,2,26.55,6,0
339,0,3,0,0,0,1,0,8.3,3,1
340,0,3,0,0,0,1,0,7.8542,5,1
341,1,1,1,0,0,2,0,56.9292,5,1
342,0,3,0,0,0,1,0,7.775,4,1
343,0,1,0,0,1,2,1,30.6896,6,0
344,1,2,1,1,2,2,3,10.3948,1,0
345,0,1,0,0,0,1,0,26,6,1
346,1,1,0,1,2,1,3,30,2,0
347,0,1,0,0,0,1,0,51.8625,6,1
348,1,1,0,0,1,2,1,256.1646,6,0
349,0,3,0,0,0,2,0,7.2292,5,1
350,0,2,0,0,0,1,0,13,5,1
351,0,3,0,0,0,3,0,24.15,5,1
352,0,3,0,0,0,1,0,7.55,5,1
353,0,3,0,0,0,3,0,7.75,4,1
354,0,3,0,0,0,1,0,8.05,5,1
355,0,2,0,0,0,1,0,13,5,1
356,0,2,0,0,0,1,0,0,5,1
357,1,1,1,0,0,1,0,31.6833,5,1
358,0,1,0,0,0,2,0,29.7,6,1
359,1,2,1,1,2,2,3,10.3948,4,0
360,0,3,0,0,0,2,0,7.225,6,1
361,0,3,1,0,0,1,0,7.8958,5,1
362,0,3,0,0,0,3,0,7.8292,4,1
363,1,2,0,0,0,1,0,10.5,4,1
364,0,3,0,0,0,2,0,7.225,3,1
365,1,1,1,0,0,1,0,151.55,4,1
366,1,1,0,0,0,1,0,56.4958,5,1
367,0,3,0,0,0,1,0,7.775,4,1
368,1,1,1,0,0,2,0,76.2917,6,1
369,0,3,0,0,0,1,0,8.6625,3,1
370,0,3,0,0,0,2,0,7.2292,5,1
371,0,1,0,0,1,1,1,76.73125,6,0
372,1,3,1,1,0,2,1,6.92915,5,0
373,1,1,0,1,0,1,1,41.13335,4,0
374,1,2,0,0,0,1,0,10.5,4,1
375,1,2,1,1,0,1,1,13,5,0
376,1,3,1,0,0,1,0,7.65,4,1
377,0,3,0,4,1,1,5,6.614583333,3,0
378,1,3,0,0,0,3,0,7.75,5,1
379,0,3,0,1,0,1,1,8.05,5,0
380,0,3,1,1,0,3,1,7.75,6,0
381,0,3,0,0,0,3,0,7.75,7,1
382,0,3,0,0,0,1,0,7.8542,4,1
383,0,2,0,0,0,2,0,12.875,6,1
384,0,3,1,1,6,1,7,5.8625,6,0
385,0,2,0,1,0,1,1,5.75,4,0
386,0,2,1,1,0,1,1,13,6,0
387,0,3,0,0,0,1,0,8.05,5,1
388,1,1,1,0,1,1,1,76.73125,6,0
389,1,3,1,1,1,2,2,5.081933333,2,0
390,0,2,0,0,0,1,0,13,5,1
391,0,3,0,0,0,3,0,7.75,7,1
392,1,3,1,0,0,3,0,7.75,3,1
393,0,1,0,0,0,1,0,26.55,6,1
394,0,2,0,0,0,1,0,13,5,1
395,0,3,0,0,0,1,0,7.8958,4,1
396,0,3,1,1,0,1,1,4.9125,4,0
397,0,2,0,1,2,2,3,10.3948,5,0
398,0,3,1,0,0,1,0,10.5167,4,1
399,0,3,0,0,0,1,0,9.5,3,1
400,1,1,1,0,0,2,0,69.3,4,1
401,0,3,0,0,0,1,0,7.775,5,1
402,0,2,0,1,0,1,1,13,5,0
403,1,2,1,0,2,1,2,8.666666667,5,0
404,0,3,1,1,1,1,2,8.05,5,0
405,0,2,1,1,0,1,1,13,5,0
406,0,3,0,1,1,1,2,4.833333333,5,0
407,0,1,0,2,0,3,2,30,6,0
408,1,1,1,0,0,1,0,25.9292,6,1
409,0,3,0,0,0,1,0,8.05,4,1
410,0,1,0,1,0,2,1,68.3896,5,0
411,0,1,0,2,0,1,2,24.5,4,0
412,0,3,0,0,0,1,0,8.1583,4,1
413,1,1,1,0,0,1,0,135.6333,5,1
414,0,3,0,0,0,1,0,7.7958,5,1
415,0,3,0,0,0,1,0,9.8458,4,1
416,0,1,0,1,1,2,2,36.9611,6,0
417,0,3,0,0,0,2,0,7.225,6,1
418,0,3,0,0,0,1,0,7.65,6,1
419,0,3,0,0,0,1,0,7.05,5,1
420,0,3,0,0,0,1,0,7.55,5,1
421,0,3,1,0,0,1,0,8.6625,4,1
422,0,3,0,0,0,1,0,7.25,5,1
423,1,3,1,0,0,3,0,7.75,4,1
424,1,1,1,1,1,2,2,36.9611,6,0
425,0,3,0,0,0,3,0,7.7375,6,1
426,0,2,0,1,0,2,1,15.0354,5,0
427,1,1,0,0,1,2,1,31.67915,4,0
428,1,3,0,0,0,3,0,7.75,5,1
429,0,3,0,0,0,1,0,7.8958,4,1
430,1,1,0,0,0,2,0,30,5,1
431,0,3,1,1,2,1,3,5.8625,4,0
432,0,3,0,0,0,1,0,9.5,5,1
433,1,3,1,0,0,3,0,7.7375,6,1
434,0,3,0,4,2,1,6,4.483928571,2,0
435,0,3,0,0,0,1,0,7.8958,5,1
436,1,2,0,0,0,1,0,13,5,1
437,1,1,1,1,0,2,1,54.45,3,0
438,0,3,1,1,1,1,2,4.0611,1,0
439,0,1,0,0,0,1,0,35,3,1
440,0,3,0,2,2,1,4,6.875,3,0
441,0,2,0,1,0,1,1,13,6,0
442,1,3,1,0,0,1,0,8.05,4,1
443,0,3,0,0,0,1,0,0,4,1
444,0,2,0,2,0,1,2,10.5,4,0
445,0,2,0,0,0,1,0,13,6,1
446,0,3,0,4,1,3,5,4.854166667,2,0
