Survived,Pclass,Sex,SibSp,Parch,Embarked,relatives,fare_pp,AgeGroup,Name_Letter,not_alone
0,3.0,0,1,0,3,1,7.75,4,12,0
0,1.0,0,0,1,1,1,38.64375,6,23,0
0,2.0,0,0,0,1,0,13.0,6,6,1
0,3.0,0,0,0,1,0,9.5,4,8,1
0,2.0,0,0,0,1,0,13.0,6,1,1
1,3.0,1,1,2,1,3,6.9375,1,23,0
0,3.0,0,8,2,1,10,6.322727272727272,5,19,0
0,3.0,0,8,2,1,10,6.322727272727272,5,19,0
1,3.0,1,1,0,1,1,3.5,6,23,0
1,1.0,1,3,2,1,5,43.833333333333336,4,6,0
0,3.0,0,1,0,1,1,7.925,5,8,0
0,3.0,0,1,0,2,1,3.21875,5,20,0
0,3.0,0,0,0,1,0,7.7958,4,10,1
1,3.0,1,0,3,2,3,4.814575,4,2,0
0,2.0,0,0,0,3,0,12.35,6,11,1
0,1.0,0,0,0,2,0,39.6,5,2,1
1,3.0,1,1,2,1,3,5.14375,1,4,0
1,1.0,1,2,2,2,4,52.475,3,18,0
0,1.0,0,0,0,1,0,24.15,6,12,1
1,1.0,0,0,0,2,0,29.7,6,3,1
1,3.0,0,0,0,1,0,7.925,5,19,1
1,3.0,0,0,0,1,0,56.4958,5,3,1
0,3.0,0,5,2,1,7,5.8625,1,7,0
1,1.0,1,0,2,1,2,54.95556666666667,5,23,0
1,3.0,0,0,0,1,0,56.4958,5,2,1
1,1.0,1,1,0,2,1,35.64165,6,3,0
0,2.0,0,0,0,1,0,13.5,5,14,1
1,3.0,0,1,0,1,1,8.7,6,4,0
1,2.0,1,0,0,1,0,13.0,5,23,1
0,3.0,0,0,0,2,0,6.4375,6,20,1
0,1.0,0,1,0,1,1,26.0,6,8,0
0,3.0,1,1,9,1,10,6.322727272727272,4,19,0
0,2.0,0,0,0,1,0,13.0,4,5,1
0,2.0,0,0,0,1,0,13.0,5,19,1
0,3.0,0,0,0,3,0,7.8292,5,11,1
0,1.0,0,0,0,2,0,79.2,4,7,1
0,1.0,0,0,0,2,0,30.6958,6,19,1
1,2.0,1,1,0,1,1,13.0,5,6,0
1,1.0,0,0,0,1,0,26.2875,6,3,1
1,1.0,1,1,0,1,1,39.425,7,3,0
0,3.0,0,1,1,2,2,5.081933333333333,2,2,0
0,3.0,0,1,1,1,2,6.841666666666666,5,7,0
1,1.0,0,0,0,1,0,26.55,5,2,1
0,3.0,1,0,0,3,0,7.75,4,3,1
1,1.0,1,1,1,2,2,82.50693333333334,5,4,0
0,1.0,0,1,0,1,1,110.8896,7,19,0
1,1.0,1,1,0,2,1,37.625,6,23,0
1,3.0,1,0,0,2,0,7.225,6,1,1
1,3.0,1,1,1,1,2,10.0,5,3,0
0,3.0,0,3,1,1,4,4.215,1,16,0
1,1.0,1,0,1,1,1,27.5,4,2,0
0,2.0,0,0,0,1,0,12.525,6,2,1
1,1.0,1,0,0,1,0,211.3375,6,11,1
0,3.0,0,0,0,1,0,7.925,4,1,1
1,2.0,1,0,2,1,2,4.333333333333333,3,19,0
1,2.0,1,0,1,1,1,16.5,2,8,0
0,1.0,0,0,0,1,0,34.0208,6,23,1
0,1.0,0,0,0,1,0,25.925,5,2,1
0,3.0,1,4,2,1,6,1.1107142857142858,6,1,0
0,2.0,0,0,0,1,0,26.0,6,13,1
0,3.0,0,0,0,2,0,7.225,5,1,1
1,3.0,0,1,1,2,2,5.081933333333333,5,13,0
1,2.0,0,1,1,1,2,4.833333333333333,1,8,0
1,3.0,0,0,0,1,0,7.925,5,10,1
0,1.0,0,1,0,1,1,33.3,5,16,0
1,1.0,1,1,0,2,1,53.2125,6,4,0
1,2.0,0,0,0,1,0,13.0,5,2,1
1,1.0,1,0,0,2,0,27.7208,5,18,1
1,1.0,0,0,0,1,0,26.0,6,19,1
0,3.0,0,1,1,1,2,2.6180666666666665,3,11,0
0,3.0,0,0,0,1,0,8.05,5,1,1
0,3.0,0,0,0,1,0,7.8958,4,19,1
1,1.0,0,0,0,2,0,29.7,4,13,1
0,3.0,0,0,0,1,0,0.0,6,23,1
0,3.0,1,1,0,2,1,7.2271,5,11,0
0,3.0,0,0,0,1,0,0.0,6,12,1
1,1.0,0,1,0,1,1,26.55,5,3,0
0,1.0,1,0,0,2,0,31.6792,6,5,1
0,3.0,0,0,0,1,0,7.925,4,16,1
0,3.0,0,0,0,3,0,7.75,6,19,1
1,3.0,1,1,0,3,1,7.75,5,13,0
0,3.0,0,1,0,1,1,3.8875,5,16,0
1,1.0,1,0,0,2,0,27.7208,6,12,1
0,2.0,0,0,0,1,0,13.5,5,13,1
1,2.0,0,0,0,2,0,12.7375,5,16,1
0,3.0,0,0,0,1,0,8.05,5,13,1
0,2.0,0,1,0,1,1,13.0,6,6,0
0,3.0,1,4,2,1,6,4.4678571428571425,2,1,0
1,2.0,1,0,0,1,0,13.0,5,16,1
0,1.0,0,0,1,2,1,30.9896,7,15,0
1,1.0,1,1,0,3,1,45.0,5,13,0
0,3.0,1,0,0,3,0,7.6292,5,3,1
0,2.0,0,1,2,1,3,16.25,6,8,0
0,1.0,0,0,0,1,0,26.55,6,6,1
0,2.0,0,0,0,1,0,12.275,5,8,1
0,1.0,0,0,2,2,2,70.5,5,23,0
1,1.0,1,0,0,1,0,164.8667,5,2,1
1,1.0,0,0,2,2,2,36.9611,3,20,0
0,3.0,1,0,0,3,0,7.75,5,13,1
0,1.0,0,0,0,1,0,0.0,6,18,1
0,3.0,0,0,0,1,0,8.05,3,23,1
0,3.0,0,0,0,1,0,7.8958,5,16,1
0,3.0,0,0,0,1,0,9.5,4,12,1
0,1.0,0,0,0,1,0,26.55,5,18,1
0,3.0,0,0,0,1,0,7.8958,5,4,1
0,3.0,0,0,0,3,0,7.75,6,6,1
0,3.0,1,0,0,1,0,7.55,3,8,1
1,1.0,1,1,0,2,1,68.3896,5,3,0
0,3.0,0,0,0,1,0,7.8958,4,16,1
0,3.0,0,0,0,3,0,7.75,4,6,1
1,1.0,1,0,0,1,0,211.3375,5,1,1
1,2.0,1,1,0,2,1,13.8604,4,4,0
0,3.0,0,1,0,1,1,3.5271,3,10,0
0,3.0,1,0,1,1,1,5.23125,1,19,0
0,3.0,1,0,1,2,1,7.2271,6,2,0
0,3.0,0,0,0,1,0,8.6625,3,3,1
1,1.0,1,0,2,1,2,26.55,3,20,0
0,3.0,0,2,0,1,2,2.6833333333333336,3,4,0
0,3.0,0,0,0,1,0,7.25,6,3,1
1,2.0,1,1,2,1,3,6.9375,5,23,0
0,1.0,0,1,0,2,1,29.7,6,18,0
0,3.0,0,0,0,1,0,8.6625,3,3,1
0,3.0,0,0,0,2,0,7.2292,4,4,1
0,3.0,0,0,0,1,0,7.8542,5,10,1
1,2.0,1,2,1,1,3,9.75,1,2,0
0,3.0,0,0,0,1,0,7.8542,4,3,1
0,3.0,0,0,0,1,0,15.1,6,5,1
1,1.0,1,0,0,2,0,106.425,5,12,1
0,3.0,1,0,0,1,0,7.8542,5,15,1
0,2.0,0,0,0,1,0,13.0,5,16,1
0,3.0,0,0,0,2,0,14.4583,4,25,1
0,3.0,1,0,0,2,0,14.4583,3,1,1
1,3.0,1,0,0,3,0,7.7208,6,18,1
1,2.0,1,0,0,1,0,15.75,6,23,1
1,3.0,0,0,0,1,0,8.05,6,4,1
0,3.0,0,1,4,1,5,4.6499999999999995,6,19,0
0,3.0,0,0,0,1,0,32.674554494381965,6,19,1
1,1.0,0,0,0,2,0,28.5375,5,20,1
1,3.0,0,0,0,1,0,9.5,5,19,1
0,3.0,1,0,0,3,0,7.2833,3,2,1
0,1.0,0,0,0,1,0,31.0,5,3,1
0,3.0,0,0,0,1,0,7.25,6,23,1
0,1.0,0,1,0,1,1,26.55,4,13,0
0,2.0,0,0,0,1,0,14.0,6,13,1
1,1.0,1,1,0,1,1,41.7375,5,8,0
0,3.0,0,0,0,1,0,7.775,5,10,1
0,3.0,0,0,0,1,0,7.8958,3,9,1
0,3.0,0,0,0,1,0,8.05,4,19,1
0,2.0,0,0,0,1,0,13.0,6,22,1
1,1.0,0,0,0,1,0,26.55,6,18,1
1,1.0,1,1,1,2,2,70.5,6,23,0
0,3.0,0,0,0,1,0,14.5,4,16,1
0,2.0,0,0,0,1,0,13.0,4,2,1
0,3.0,0,3,1,1,4,5.0933399999999995,4,12,0
1,3.0,1,1,1,2,2,5.247233333333333,4,14,0
1,1.0,1,0,0,2,0,76.2917,5,2,1
0,3.0,0,0,0,1,0,8.05,4,16,1
0,3.0,0,0,0,2,0,7.2292,5,2,1
1,3.0,1,0,0,3,0,7.7792,5,19,1
0,3.0,0,0,0,3,0,7.75,5,3,1
0,3.0,0,0,0,1,0,8.6625,6,4,1
0,3.0,0,0,0,1,0,7.775,3,5,1
0,3.0,0,0,0,1,0,8.05,6,13,1
0,2.0,0,0,0,1,0,13.0,5,2,1
0,3.0,0,0,0,1,0,7.8958,4,22,1
0,3.0,0,0,0,1,0,7.05,6,7,1
0,3.0,0,1,0,1,1,8.9,5,1,0
0,3.0,0,0,0,1,0,9.225,4,15,1
0,2.0,0,0,0,1,0,13.0,5,13,1
0,1.0,0,0,0,1,0,50.0,4,18,1
1,3.0,0,0,0,1,0,7.925,6,14,1
0,3.0,1,1,0,2,1,7.2271,5,26,0
0,2.0,0,0,0,2,0,15.0458,6,19,1
0,3.0,1,2,2,1,4,6.875,4,6,0
0,3.0,0,1,0,2,1,7.2271,4,11,0
0,3.0,0,0,0,3,0,7.8792,5,6,1
0,3.0,0,0,0,1,0,7.8958,6,20,1
0,3.0,0,0,0,1,0,7.25,4,16,1
1,2.0,1,0,1,1,1,9.75,3,13,0
1,3.0,0,0,0,3,0,7.75,6,15,1
1,1.0,1,0,0,2,0,83.1583,4,8,1
0,1.0,0,0,0,1,0,26.0,5,19,1
0,3.0,0,4,1,3,5,4.854166666666667,2,18,0
0,2.0,0,0,0,1,0,11.5,4,3,1
0,3.0,0,4,2,1,6,4.483928571428572,1,1,0
0,3.0,0,1,0,1,1,9.98335,5,8,0
0,3.0,1,0,0,3,0,7.7333,3,8,1
0,1.0,0,0,0,1,0,30.5,6,13,1
1,3.0,0,1,2,1,3,5.14375,1,4,0
0,2.0,0,1,0,1,1,13.0,5,1,0
1,3.0,1,0,0,3,0,7.75,5,15,1
1,3.0,1,0,0,1,0,8.05,3,2,1
1,3.0,1,0,0,1,0,7.25,4,12,1
0,2.0,0,0,0,1,0,10.5,4,12,1
1,3.0,1,0,2,2,2,5.247233333333333,1,14,0
0,3.0,1,1,4,1,5,4.6499999999999995,6,19,0
0,1.0,0,0,0,1,0,26.55,3,3,1
1,2.0,0,0,2,1,2,10.833333333333334,2,4,0
1,1.0,1,0,0,2,0,262.375,6,3,1
0,2.0,0,0,0,1,0,10.5,5,11,1
0,1.0,0,0,0,2,0,34.6542,7,7,1
0,1.0,0,0,0,1,0,33.5,7,22,1
1,2.0,0,1,1,1,2,8.666666666666666,1,14,0
0,1.0,0,1,2,1,3,37.8875,5,1,0
1,3.0,0,0,0,1,0,7.7958,4,11,1
0,2.0,0,2,0,1,2,24.5,4,8,0
0,1.0,0,0,0,1,0,26.55,7,13,1
0,1.0,0,0,0,2,0,27.7208,5,19,1
0,3.0,0,1,0,1,1,7.925,5,2,0
0,2.0,0,0,0,1,0,13.0,5,4,1
1,3.0,1,0,0,3,0,7.7875,5,13,1
0,3.0,0,0,0,1,0,7.8958,5,11,1
0,2.0,0,1,0,1,1,10.5,6,7,0
0,2.0,0,0,0,1,0,26.0,6,4,1
0,3.0,0,0,0,1,0,8.05,4,18,1
0,1.0,0,0,0,1,0,35.5,6,2,1
0,3.0,0,0,0,1,0,8.05,5,16,1
0,1.0,0,0,0,2,0,40.125,6,18,1
0,3.0,0,1,0,3,1,3.875,3,11,0
1,2.0,1,0,0,1,0,13.0,6,2,1
0,1.0,0,0,0,2,0,227.525,4,18,1
1,3.0,1,1,2,1,3,5.14375,5,4,0
1,3.0,0,0,0,1,0,7.5792,5,12,1
1,1.0,1,0,2,2,2,27.71943333333333,7,3,0
0,1.0,0,0,0,1,0,0.0,6,1,1
0,1.0,0,1,4,1,5,43.833333333333336,7,6,0
1,1.0,1,1,0,1,1,66.825,5,6,0
0,3.0,0,0,0,1,0,7.875,5,26,1
0,2.0,0,0,0,1,0,13.0,5,19,1
1,2.0,1,0,0,1,0,13.0,5,19,1
0,3.0,0,0,0,1,0,8.4333,4,11,1
0,3.0,0,0,0,3,0,7.7292,4,19,1
1,2.0,0,2,1,1,3,9.75,1,2,0
0,3.0,0,0,0,1,0,9.5,6,23,1
0,3.0,1,0,0,3,0,7.8792,5,13,1
1,2.0,0,0,2,1,2,9.666666666666666,1,3,0
0,2.0,0,0,1,1,1,10.5,6,16,0
0,3.0,0,0,0,1,0,56.4958,5,12,1
0,3.0,0,0,0,1,0,7.8958,5,2,1
1,2.0,1,1,0,1,1,13.0,5,8,0
1,1.0,0,1,0,2,1,27.72085,6,19,0
1,1.0,1,1,0,1,1,38.97915,7,1,0
0,3.0,1,8,2,1,10,6.322727272727272,5,19,0
0,1.0,0,1,1,2,2,27.71943333333333,6,3,0
0,3.0,0,0,0,1,0,7.8958,5,3,1
1,2.0,0,1,1,1,2,12.25,2,4,0
1,3.0,1,0,0,3,0,7.7333,3,13,1
1,3.0,1,1,0,3,1,7.75,6,13,0
0,3.0,0,0,0,1,0,7.05,4,1,1
1,3.0,1,0,2,1,2,3.7111,5,10,0
0,2.0,1,1,1,1,2,8.666666666666666,5,12,0
0,3.0,0,0,0,1,0,7.775,4,1,1
0,3.0,0,3,2,1,5,4.6499999999999995,2,19,0
0,3.0,0,0,0,3,0,8.4583,5,13,1
0,2.0,0,0,0,1,0,13.0,5,13,1
1,3.0,1,0,0,1,0,7.8542,5,14,1
0,3.0,0,0,0,1,0,8.05,5,23,1
0,3.0,0,0,0,1,0,7.8542,4,14,1
0,3.0,1,0,0,1,0,8.05,4,13,1
0,3.0,0,0,0,2,0,7.8958,5,4,1
1,2.0,1,0,2,1,2,8.75,2,8,0
0,3.0,0,2,0,1,2,2.8874999999999997,5,11,0
0,1.0,0,0,1,2,1,14.85,6,14,0
0,3.0,0,0,0,3,0,7.75,5,6,1
1,1.0,0,0,0,1,0,35.5,5,19,1
0,3.0,0,4,1,1,5,6.614583333333333,2,16,0
1,1.0,1,1,0,2,1,56.6375,5,14,0
1,1.0,0,0,0,1,0,26.55,5,19,1
0,3.0,0,8,2,1,10,6.322727272727272,3,19,0
0,3.0,0,0,0,1,0,7.8958,6,12,1
1,3.0,0,0,0,1,0,7.65,5,1,1
0,1.0,0,1,1,2,2,70.5,6,23,0
0,2.0,0,0,0,1,0,13.0,6,8,1
1,2.0,0,0,0,1,0,10.5,4,3,1
1,3.0,0,1,1,2,2,5.081933333333333,2,20,0
0,3.0,0,0,0,1,0,7.775,5,1,1
0,3.0,0,0,0,2,0,7.2292,6,11,1
1,2.0,1,1,0,1,1,13.0,6,1,0
0,1.0,0,0,0,1,0,26.55,6,12,1
1,1.0,0,0,0,1,0,26.3875,6,6,1
0,2.0,0,0,0,1,0,10.5,6,18,1
0,3.0,1,0,4,1,4,5.0933399999999995,4,12,0
0,3.0,0,0,0,1,0,14.5,4,18,1
0,2.0,0,1,0,1,1,5.75,4,7,0
0,3.0,0,0,0,1,0,7.0,3,16,1
1,3.0,1,1,5,1,6,4.483928571428572,6,1,0
1,1.0,1,2,0,1,2,17.15973333333333,6,2,0
1,2.0,1,0,1,1,1,13.0,5,19,0
1,3.0,1,0,0,3,0,8.0292,3,13,1
0,1.0,0,0,0,1,0,52.0,6,16,1
0,1.0,0,0,0,1,0,221.7792,5,6,1
1,1.0,0,0,0,1,0,26.55,6,1,1
1,1.0,1,1,2,1,3,30.0,3,3,0
1,3.0,0,0,0,1,0,7.7958,5,1,1
1,1.0,1,0,1,1,1,105.66875,3,13,0
0,1.0,0,0,0,1,0,42.4,4,8,1
1,3.0,1,0,0,2,0,7.225,5,13,1
1,2.0,1,0,0,1,0,12.65,5,20,1
0,1.0,0,0,0,2,0,30.6958,4,8,1
1,3.0,0,0,0,1,0,9.5,5,19,1
0,3.0,0,2,0,1,2,4.702766666666666,6,8,0
0,2.0,0,0,0,1,0,73.5,3,4,1
1,1.0,1,0,0,2,0,135.6333,6,23,1
0,3.0,0,5,2,1,7,5.8625,2,7,0
0,3.0,0,0,0,3,0,6.75,4,2,1
1,2.0,1,0,1,1,1,13.0,6,16,0
1,3.0,0,0,0,1,0,7.7958,4,10,1
1,3.0,0,0,0,3,0,7.75,4,13,1
1,1.0,1,1,0,1,1,38.97915,6,8,0
1,1.0,0,0,0,2,0,28.5,6,7,1
1,3.0,1,2,0,3,2,7.75,6,13,0
1,1.0,0,0,0,1,0,26.55,6,4,1
0,3.0,0,1,0,3,1,12.075,4,13,0
0,2.0,0,0,0,1,0,13.0,5,14,1
1,3.0,1,0,0,1,0,8.6833,5,15,1
0,3.0,0,0,2,1,2,4.833333333333333,6,22,0
0,3.0,1,0,0,3,0,6.75,3,8,1
1,3.0,0,0,0,1,0,7.7958,5,20,1
0,3.0,0,0,0,2,0,4.0125,4,2,1
0,3.0,0,0,0,1,0,8.05,3,18,1
1,1.0,1,1,1,1,2,17.518066666666666,6,2,0
1,3.0,1,3,0,1,3,3.9625,5,2,0
0,3.0,0,0,0,1,0,7.55,6,1,1
0,3.0,1,5,2,1,7,5.8625,2,7,0
1,1.0,1,0,0,1,0,26.55,4,23,1
1,1.0,1,0,0,2,0,31.0,5,19,1
1,1.0,1,1,2,1,3,30.0,6,3,0
0,1.0,0,1,0,1,1,26.55,6,6,0
1,1.0,1,0,0,1,0,86.5,3,13,1
1,3.0,0,0,1,1,1,1.5854,2,15,0
0,3.0,0,0,0,1,0,8.05,4,13,1
0,3.0,0,0,0,1,0,9.5,5,22,1
1,3.0,1,0,2,2,2,5.081933333333333,5,13,0
1,3.0,1,0,0,1,0,7.75,4,14,1
1,3.0,0,0,0,1,0,7.775,6,13,1
1,1.0,1,1,0,1,1,41.13335,4,19,0
0,3.0,0,3,2,1,5,4.6499999999999995,1,19,0
1,1.0,1,1,1,1,2,26.55,6,20,0
0,3.0,0,0,0,1,0,8.3,3,1,1
0,3.0,0,0,0,1,0,7.8542,5,10,1
1,1.0,1,0,0,2,0,56.9292,5,6,1
0,3.0,0,0,0,1,0,7.775,4,2,1
0,1.0,0,0,1,2,1,30.6896,6,23,0
1,2.0,1,1,2,2,3,10.3948,1,12,0
0,1.0,0,0,0,1,0,26.0,6,10,1
1,1.0,0,1,2,1,3,30.0,2,3,0
0,1.0,0,0,0,1,0,51.8625,4,8,1
1,1.0,0,0,1,2,1,256.1646,6,3,0
0,3.0,0,0,0,2,0,7.2292,5,14,1
0,2.0,0,0,0,1,0,13.0,5,8,1
0,3.0,0,0,0,3,0,24.15,5,18,1
0,3.0,0,0,0,1,0,7.55,6,12,1
0,3.0,0,0,0,3,0,7.75,4,15,1
0,3.0,0,0,0,1,0,8.05,5,19,1
0,2.0,0,0,0,1,0,13.0,5,7,1
0,2.0,0,0,0,1,0,0.0,6,3,1
1,1.0,1,0,0,1,0,31.6833,5,6,1
0,1.0,0,0,0,2,0,29.7,6,4,1
1,2.0,1,1,2,2,3,10.3948,4,12,0
0,3.0,0,0,0,2,0,7.225,6,25,1
0,3.0,1,0,0,1,0,7.8958,5,16,1
0,3.0,0,0,0,3,0,7.8292,6,15,1
1,2.0,0,0,0,1,0,10.5,4,13,1
0,3.0,0,0,0,2,0,7.225,5,25,1
1,1.0,1,0,0,1,0,151.55,4,3,1
1,1.0,0,0,0,1,0,56.4958,4,12,1
0,3.0,0,0,0,1,0,7.775,4,7,1
1,1.0,1,0,0,2,0,76.2917,6,2,1
0,3.0,0,0,0,1,0,8.6625,3,16,1
0,3.0,0,0,0,2,0,7.2292,5,9,1
0,1.0,0,0,1,1,1,76.73125,6,7,0
1,3.0,1,1,0,2,1,6.92915,5,4,0
1,1.0,0,1,0,1,1,41.13335,4,19,0
1,2.0,0,0,0,1,0,10.5,4,15,1
1,2.0,1,1,0,1,1,13.0,5,3,0
1,3.0,1,0,0,1,0,7.65,4,19,1
0,3.0,0,4,1,1,5,6.614583333333333,3,16,0
1,3.0,0,0,0,3,0,7.75,3,11,1
0,3.0,0,1,0,1,1,8.05,4,4,0
0,3.0,1,1,0,3,1,7.75,3,12,0
0,3.0,0,0,0,3,0,7.75,7,3,1
0,3.0,0,0,0,1,0,7.8542,4,8,1
0,2.0,0,0,0,2,0,12.875,6,12,1
0,3.0,1,1,6,1,7,5.8625,6,7,0
0,2.0,0,1,0,1,1,5.75,4,7,0
0,2.0,1,1,0,1,1,13.0,6,8,0
0,3.0,0,0,0,1,0,8.05,6,19,1
1,1.0,1,0,1,1,1,76.73125,6,7,0
1,3.0,1,1,1,2,2,5.081933333333333,2,20,0
0,2.0,0,0,0,1,0,13.0,5,19,1
0,3.0,0,0,0,3,0,7.75,7,4,1
1,3.0,1,0,0,3,0,7.75,3,3,1
0,1.0,0,0,0,1,0,26.55,6,2,1
0,2.0,0,0,0,1,0,13.0,5,3,1
0,3.0,0,0,0,1,0,7.8958,4,3,1
0,3.0,1,1,0,1,1,4.9125,4,10,0
0,2.0,0,1,2,2,3,10.3948,5,12,0
0,3.0,1,0,0,1,0,10.5167,4,4,1
0,3.0,0,0,0,1,0,9.5,3,4,1
1,1.0,1,0,0,2,0,69.3,4,19,1
0,3.0,0,0,0,1,0,7.775,5,12,1
0,2.0,0,1,0,1,1,13.0,5,2,0
1,2.0,1,0,2,1,2,8.666666666666666,5,17,0
0,3.0,1,1,1,1,2,8.049999999999999,5,22,0
0,2.0,1,1,0,1,1,13.0,5,3,0
0,3.0,0,1,1,1,2,4.833333333333333,6,22,0
0,1.0,0,2,0,3,2,30.0,6,13,0
1,1.0,1,0,0,1,0,25.9292,6,19,1
0,3.0,0,0,0,1,0,8.05,4,4,1
0,1.0,0,1,0,2,1,68.3896,5,3,0
0,1.0,0,2,0,1,2,24.5,4,8,0
0,3.0,0,0,0,1,0,8.1583,4,3,1
1,1.0,1,0,0,1,0,135.6333,5,2,1
0,3.0,0,0,0,1,0,7.7958,5,3,1
0,3.0,0,0,0,1,0,9.8458,4,7,1
0,1.0,0,1,1,2,2,36.9611,6,20,0
0,3.0,0,0,0,2,0,7.225,3,20,1
0,3.0,0,0,0,1,0,7.65,6,8,1
0,3.0,0,0,0,1,0,7.05,5,1,1
0,3.0,0,0,0,1,0,7.55,5,23,1
0,3.0,1,0,0,1,0,8.6625,4,15,1
0,3.0,0,0,0,1,0,7.25,5,8,1
1,3.0,1,0,0,3,0,7.75,4,13,1
1,1.0,1,1,1,2,2,36.9611,6,20,0
0,3.0,0,0,0,3,0,7.7375,3,11,1
0,2.0,0,1,0,2,1,15.0354,5,14,0
1,1.0,0,0,1,2,1,31.67915,4,7,0
1,3.0,0,0,0,3,0,7.75,5,4,1
0,3.0,0,0,0,1,0,7.8958,4,14,1
1,1.0,0,0,0,2,0,30.0,5,2,1
0,3.0,1,1,2,1,3,5.8625,6,10,0
0,3.0,0,0,0,1,0,9.5,5,22,1
1,3.0,1,0,0,3,0,7.7375,5,13,1
0,3.0,0,4,2,1,6,4.483928571428572,2,1,0
0,3.0,0,0,0,1,0,7.8958,5,14,1
1,2.0,0,0,0,1,0,13.0,5,23,1
1,1.0,1,1,0,2,1,54.45,3,16,0
0,3.0,1,1,1,1,2,4.0611,1,11,0
0,1.0,0,0,0,1,0,35.0,6,23,1
0,3.0,0,2,2,1,4,6.875,3,6,0
0,2.0,0,1,0,1,1,13.0,6,3,0
1,3.0,1,0,0,1,0,8.05,4,4,1
0,3.0,0,0,0,1,0,0.0,4,10,1
0,2.0,0,2,0,1,2,10.5,4,10,0
0,2.0,0,0,0,1,0,13.0,6,15,1
